author_id,name_as_published,full_name,family,given_full,evidence_dois,n_papers_linked,n_papers_checked,n_papers_agreeing
77646,Kapstad S.M.,"Kapstad, Siv Merethe",Kapstad,Siv Merethe,10.1080/2156857x.2022.2069847,1,1,1
77647,Øvrum I.T.,"Øvrum, Inger Therese",Øvrum,Inger Therese,10.1080/2156857x.2022.2069847,1,1,1
77648,Höglund F.,"Höglund, Frida",Höglund,Frida,10.1080/2156857x.2022.2062430,1,1,1
77649,Bruhn A.,"Bruhn, Anders",Bruhn,Anders,10.1080/2156857x.2022.2062430,1,1,1
77650,Sletten M.S.,"Sletten, Marina S.",Sletten,Marina S.,10.1080/2156857x.2022.2088606,1,1,1
77651,Gonzalez M.T.,"Gonzalez, Marianne Thorsen",Gonzalez,Marianne Thorsen,10.1080/2156857x.2022.2072379,1,1,1
77652,Aamodt G.,"Aamodt, Geir",Aamodt,Geir,10.1080/2156857x.2022.2072379,1,1,1
77653,Borg M.,"Borg, Marit",Borg,Marit,10.1080/2156857x.2022.2072379,1,1,1
77654,Sjåfjell T.,"Sjåfjell, Tommy",Sjåfjell,Tommy,10.1080/2156857x.2022.2072379,1,1,1
77655,Eronen E.,"Eronen, Eija",Eronen,Eija,10.1080/2156857x.2022.2062039,1,1,1
77656,Kuusisto K.,"Kuusisto, Katja",Kuusisto,Katja,10.1080/2156857x.2021.1950038|10.1080/2156857x.2022.2072942,2,2,2
77657,Cleak H.,"Cleak, Helen",Cleak,Helen,10.1080/03124070208411670|10.1080/03124078808550004|10.1080/03124079508414060|10.1080/03124079908414120|10.1080/2156857x.2022.2072942,6,5,5
77658,Roulston A.,"Roulston, Audrey",Roulston,Audrey,10.1080/15524256.2023.2229036|10.1080/2156857x.2022.2072942|10.1093/bjsw/bcad168,3,3,3
77659,Korkiamäki R.,"Korkiamäki, Riikka",Korkiamäki,Riikka,10.1080/2156857x.2022.2072942,1,1,1
77660,Stretmo L.,"Stretmo, Live",Stretmo,Live,10.1080/2156857x.2022.2066714,1,1,1
77661,Ranerup A.,"Ranerup, Agneta",Ranerup,Agneta,10.1080/2156857x.2022.2062040,1,1,1
