paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title
87996,10.18060/24406,2020,mcguire,148650,Lisa E. McGuire,156401;86135,Lisa E. McGuire | McGuire L.E.,3;3;3,1,3,Editorial leveraging the power of social work through interprofessional education
87996,10.18060/24406,2020,rubin,149034,Maureen Rubin,156785;92174,Maureen Rubin | Rubin M.,1;1;1,1,3,Editorial leveraging the power of social work through interprofessional education
87996,10.18060/24406,2020,zerden,149035,Lisa de Saxe Zerden,156786;92175,Lisa de Saxe Zerden | Zerden L.d.S.,2;2;2,1,3,Editorial leveraging the power of social work through interprofessional education
87998,10.18060/23602,2020,adamson,149167,Keith Adamson,156918;75579,Keith Adamson | Adamson K.,1;1;1,1,4,Integrating social work into interprofessional education: A review of one university’s curriculum to prepare students fo
87998,10.18060/23602,2020,ashcroft,149168,Rachelle Ashcroft,156919;75573,Rachelle Ashcroft | Ashcroft R.,2;2;2,1,4,Integrating social work into interprofessional education: A review of one university’s curriculum to prepare students fo
87998,10.18060/23602,2020,langlois,149169,Sylvia Langlois,156920;92179,Sylvia Langlois | Langlois S.,3;3;3,1,4,Integrating social work into interprofessional education: A review of one university’s curriculum to prepare students fo
87998,10.18060/23602,2020,lising,149170,Dean Lising,156921;92180,Dean Lising | Lising D.,4;4;4,1,4,Integrating social work into interprofessional education: A review of one university’s curriculum to prepare students fo
87999,10.18060/23686,2020,deluca-acconi,148754,Robin Deluca-Acconi,156505;92181,Robin Deluca-Acconi | Deluca-Acconi R.,1;1;1,1,4,Educating the next generation of human rights advocates and defenders: An interprofessional partnership
87999,10.18060/23686,2020,graham,148757,Warren Graham,156508;92184,Warren Graham | Graham W.,4;4;4,1,4,Educating the next generation of human rights advocates and defenders: An interprofessional partnership
87999,10.18060/23686,2020,rabeno,148756,Stephen Rabeno,156507;92183,Stephen Rabeno | Rabeno S.,3;3;3,1,4,Educating the next generation of human rights advocates and defenders: An interprofessional partnership
87999,10.18060/23686,2020,velazquez,148755,Suzanne L. Velazquez,156506;92182,Suzanne L. Velazquez | Velázquez S.L.,2;2;2,1,4,Educating the next generation of human rights advocates and defenders: An interprofessional partnership
88000,10.18060/23654,2020,amato,148618,Cyndi Amato,156369;92185,Cyndi Amato | Amato C.,1;1;1,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88000,10.18060/23654,2020,bartholomew,148622,Audrey Bartholomew,156373;92188,Audrey Bartholomew | Bartholomew A.,5;5;5,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88000,10.18060/23654,2020,beals,148623,Caroline Beals,156374;92189,Caroline Beals | Beals C.,6;6;6,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88000,10.18060/23654,2020,clarke,148620,Lane W. Clarke,156371;92186,Lane W. Clarke | Clarke L.W.,3;3;3,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88000,10.18060/23654,2020,husman,148621,Caryn Husman,156372;92187,Caryn Husman | Husman C.,4;4;4,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88000,10.18060/23654,2020,konrad,148619,Shelley Cohen Konrad,156370;76067,Shelley Cohen Konrad | Konrad S.C.,2;2;2,1,6,Jumpstarting cross-discipline collaboration in undergraduate social work education
88001,10.18060/23377,2020,clarkson-hendrix,149015,Michael Clarkson-Hendrix,156766;92128,Michael Clarkson-Hendrix | Clarkson-Hendrix M.L.,1;1;1,1,2,A mixed methods examination of msw student satisfaction with integrated behavioral health field placements
88001,10.18060/23377,2020,warner,149016,Lynn A. Warner,156767;90229,Lynn A. Warner | Warner L.A.,2;2;2,1,2,A mixed methods examination of msw student satisfaction with integrated behavioral health field placements
88002,10.18060/23615,2020,cunningham,149022,Robin Cunningham,156773;92191,Robin Cunningham | Cunningham R.,2;2;2,1,3,It’s time to go! unfolding interprofessional simulations to promote health team communications
88002,10.18060/23615,2020,gray,149021,Cara Gray,156772;92190,Cara Gray | Gray C.,1;1;1,1,3,It’s time to go! unfolding interprofessional simulations to promote health team communications
88002,10.18060/23615,2020,kolomer,149023,Stacey Kolomer,156774;82021,Stacey Kolomer | Kolomer S.,3;3;3,1,3,It’s time to go! unfolding interprofessional simulations to promote health team communications
88003,10.18060/23678,2020,ashley,149107,Tara Ashley,156858;92195,Tara Ashley | Ashley T.,4;4;4,1,4,Meeting the grand challenges in a rural community: An ipe case study
88003,10.18060/23678,2020,giesler,149104,Fredi Giesler,156855;92192,Fredi Giesler | Giesler F.,1;1;1,1,4,Meeting the grand challenges in a rural community: An ipe case study
88003,10.18060/23678,2020,rieske,149105,Robert Rieske,156856;92193,Robert Rieske | Rieske R.,2;2;2,1,4,Meeting the grand challenges in a rural community: An ipe case study
88003,10.18060/23678,2020,wuthrich,149106,Lacey Wuthrich,156857;92194,Lacey Wuthrich | Wuthrich L.,3;3;3,1,4,Meeting the grand challenges in a rural community: An ipe case study
88004,10.18060/23664,2020,bosworth,148733,Peter Bosworth,156484;92198,Peter Bosworth | Bosworth P.,3;3;3,1,6,Using a standardized patient model for interprofessional team training in social work
88004,10.18060/23664,2020,edmonds,148735,Tara Edmonds,156486;92200,Tara Edmonds | Edmonds T.,5;5;5,1,6,Using a standardized patient model for interprofessional team training in social work
88004,10.18060/23664,2020,galin,148734,Shawn Galin,156485;92199,Shawn Galin | Galin S.,4;4;4,1,6,Using a standardized patient model for interprofessional team training in social work
88004,10.18060/23664,2020,harada,148736,Caroline Harada,156487;92201,Caroline Harada | Harada C.,6;6;6,1,6,Using a standardized patient model for interprofessional team training in social work
88004,10.18060/23664,2020,hitchcock,148731,Laurel Iverson Hitchcock,156482;92196,Laurel Iverson Hitchcock | Hitchcock L.I.,1;1;1,1,6,Using a standardized patient model for interprofessional team training in social work
88004,10.18060/23664,2020,shorten,148732,Allison Shorten,156483;92197,Allison Shorten | Shorten A.,2;2;2,1,6,Using a standardized patient model for interprofessional team training in social work
88005,10.18060/23656,2020,bowen,148271,Rebecca Bowen,156022;92207,Rebecca Bowen | Bowen R.,6;6;6,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,deboth,148267,Kelle K. DeBoth,156018;92203,Kelle K. DeBoth | Deboth K.K.,2;2;2,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,dugan,148272,Sara Dugan,156023;92208,Sara Dugan | Dugan S.,7;7;7,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,niederriter,148270,Joan Niederriter,156021;92206,Joan Niederriter | Niederriter J.,5;5;5,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
88005,10.18060/23656,2020,stoddard-dare,148266,Patricia Stoddard-Dare,156017;92202,Patricia Stoddard-Dare | Stoddard-Dare P.,1;1;1,1,8,An interprofessional learning opportunity regarding pain and the opioid epidemic
